STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
US1WIDA0045,"MADISON 6.1 W, WI US",4/15/2017,,,,,0.38,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/16/2017,,,,,0.57,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/17/2017,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/18/2017,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/19/2017,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/20/2017,,,,,0.55,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/21/2017,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/22/2017,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/23/2017,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/24/2017,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/25/2017,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/26/2017,,,,,0.23,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/27/2017,,,,,0.86,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/28/2017,,,,,0.12,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/29/2017,,,,,0.1,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",4/30/2017,,,,,0.14,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/1/2017,,,,,0.72,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/2/2017,,,,,0.3,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/3/2017,,,,,0.02,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/4/2017,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/5/2017,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/6/2017,,,,,0.17,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/7/2017,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/8/2017,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/9/2017,,,,,0.24,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/10/2017,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/11/2017,,,,,0.1,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/12/2017,,,,,0.1,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/13/2017,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/14/2017,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/15/2017,,,,,0.02,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/16/2017,,,,,0.21,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/17/2017,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/18/2017,,,,,0.5,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/19/2017,,,,,0,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/20/2017,,,,,0.04,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/21/2017,,,,,0.63,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/22/2017,,,,,0.01,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/23/2017,,,,,0.13,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/24/2017,,,,,0.1,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/25/2017,,,,,0.02,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/26/2017,,,,,0.02,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/27/2017,,,,,0.13,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/28/2017,,,,,0.29,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/29/2017,,,,,0.01,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/30/2017,,,,,0.31,0,0,,,,,,,0,0,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",5/31/2017,,,,,0.01,,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",6/9/2017,,9,0,,,,0,,,,,,,0,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",6/10/2017,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",6/11/2017,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",6/12/2017,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WIDA0045,"MADISON 6.1 W, WI US",6/13/2017,,,,,0.41,,,,,,,,,,,,,,,,,,,,
